species;clade;group;desert
Ablepharus_budaki;Scincoidea;lizard;Out
Ablepharus_chernovi;Scincoidea;lizard;Out
Ablepharus_grayanus;Scincoidea;lizard;Persian
Ablepharus_kitaibelii;Scincoidea;lizard;Out
Abronia_anzuetoi;Anguimorpha;lizard;Out
Abronia_aurita;Anguimorpha;lizard;Out
Abronia_campbelli;Anguimorpha;lizard;Out
Abronia_chiszari;Anguimorpha;lizard;Out
Abronia_fimbriata;Anguimorpha;lizard;Out
Abronia_frosti;Anguimorpha;lizard;Out
Abronia_graminea;Anguimorpha;lizard;Out
Abronia_lythrochila;Anguimorpha;lizard;Out
Abronia_matudai;Anguimorpha;lizard;Out
Abronia_mixteca;Anguimorpha;lizard;Out
Abronia_oaxacae;Anguimorpha;lizard;Out
Abronia_ornelasi;Anguimorpha;lizard;Out
Acanthocercus_annectens;Iguania;lizard;Saharab
Acanthocercus_atricollis;Iguania;lizard;Out
Acanthocercus_cyanogaster;Iguania;lizard;Out
Acanthocercus_yemensis;Iguania;lizard;Saharab
Acanthodactylus_aureus;Lacertoidea;lizard;Saharab
Acanthodactylus_bedriagai;Lacertoidea;lizard;Saharab
Acanthodactylus_beershebensis;Lacertoidea;lizard;Saharab
Acanthodactylus_blanci;Lacertoidea;lizard;Out
Acanthodactylus_blanfordii;Lacertoidea;lizard;Persian
Acanthodactylus_boskianus;Lacertoidea;lizard;Saharab
Acanthodactylus_busacki;Lacertoidea;lizard;Saharab
Acanthodactylus_cantoris;Lacertoidea;lizard;Persian
Acanthodactylus_erythrurus;Lacertoidea;lizard;Out
Acanthodactylus_felicis;Lacertoidea;lizard;Saharab
Acanthodactylus_gongrorhynchatus;Lacertoidea;lizard;Saharab
Acanthodactylus_grandis;Lacertoidea;lizard;Saharab
Acanthodactylus_khamirensis;Lacertoidea;lizard;Persian
Acanthodactylus_lineomaculatus;Lacertoidea;lizard;Out
Acanthodactylus_longipes;Lacertoidea;lizard;Saharab
Acanthodactylus_maculatus;Lacertoidea;lizard;Saharab
Acanthodactylus_masirae;Lacertoidea;lizard;Saharab
Acanthodactylus_micropholis;Lacertoidea;lizard;Persian
Acanthodactylus_nilsoni;Lacertoidea;lizard;Saharab
Acanthodactylus_opheodurus;Lacertoidea;lizard;Saharab
Acanthodactylus_orientalis;Lacertoidea;lizard;Saharab
Acanthodactylus_pardalis;Lacertoidea;lizard;Saharab
Acanthodactylus_schmidti;Lacertoidea;lizard;Saharab
Acanthodactylus_schreiberi;Lacertoidea;lizard;Out
Acanthodactylus_scutellatus;Lacertoidea;lizard;Saharab
Acanthodactylus_tristrami;Lacertoidea;lizard;Saharab
Acanthophis_antarcticus;Serpentes;snake;Out
Acanthophis_praelongus;Serpentes;snake;Out
Acanthophis_pyrrhus;Serpentes;snake;Australian
Acanthophis_rugosus;Serpentes;snake;Out
Acanthophis_wellsi;Serpentes;snake;Australian
Acanthosaura_armata;Iguania;lizard;Out
Acanthosaura_capra;Iguania;lizard;Out
Acanthosaura_cardamomensis;Iguania;lizard;Out
Acanthosaura_crucigera;Iguania;lizard;Out
Acanthosaura_lepidogaster;Iguania;lizard;Out
Achalinus_meiguensis;Serpentes;snake;Out
Achalinus_rufescens;Serpentes;snake;Out
Acontias_aurantiacus;Scincoidea;lizard;Out
Acontias_bicolor;Scincoidea;lizard;Out
Acontias_breviceps;Scincoidea;lizard;Out
Acontias_cregoi;Scincoidea;lizard;Out
Acontias_gariepensis;Scincoidea;lizard;Kalahari
Acontias_gracilicauda;Scincoidea;lizard;Kalahari
Acontias_jappi;Scincoidea;lizard;Out
Acontias_kgalagadi;Scincoidea;lizard;Kalahari
Acontias_lineatus;Scincoidea;lizard;Kalahari
Acontias_litoralis;Scincoidea;lizard;Kalahari
Acontias_meleagris;Scincoidea;lizard;Kalahari
Acontias_namaquensis;Scincoidea;lizard;Kalahari
Acontias_occidentalis;Scincoidea;lizard;Kalahari
Acontias_orientalis;Scincoidea;lizard;Kalahari
