desert;var;type;low.ci;mean;up.ci;sd
Atacama;Annual Prec.;Average;0.251752184345206;0.312133975401733;0.372515766458261;0.0308070362533304
Australian;Annual Prec.;Average;0.143259166289972;0.213464831443871;0.28367049659777;0.0358192169152545
Central Asian;Annual Prec.;Average;-0.413546758031124;-0.334191652953784;-0.254836547876444;0.040487298508847
Gobi;Annual Prec.;Average;-0.36746711118744;-0.290979378974385;-0.21449164676133;0.0390243531699259
Kalahari;Annual Prec.;Average;-0.383030292823304;-0.29745217070484;-0.211874048586376;0.0436623072032979
North American;Annual Prec.;Average;0.000616355671486046;0.0708418282705585;0.141067300869631;0.0358293227546288
Persian;Annual Prec.;Average;-0.30673859183105;-0.230073036755998;-0.153407481680947;0.0391150791199242
Saharo-Arabian;Annual Prec.;Average;0.215067806553508;0.292405088412367;0.369742370271226;0.0394577968667647
Atacama;Annual Prec.;Heterogeneity within;0.281980400561022;0.345686918252545;0.409393435944067;0.0325033253528177
Australian;Annual Prec.;Heterogeneity within;-0.10672899693675;-0.0172141441801872;0.0723007085763755;0.0456708432431442
Central Asian;Annual Prec.;Heterogeneity within;-0.0660811617742708;0.018675953408751;0.103433068591773;0.0432434261137866
Gobi;Annual Prec.;Heterogeneity within;-0.376983620578042;-0.293530557360022;-0.210077494142002;0.0425780934785816
Kalahari;Annual Prec.;Heterogeneity within;0.286208228211151;0.354347157978222;0.422486087745293;0.0347647600852403
North American;Annual Prec.;Heterogeneity within;-0.176302742084599;-0.0939138454835955;-0.0115249488825916;0.0420351513270428
Persian;Annual Prec.;Heterogeneity within;-0.245558862246628;-0.160809430003797;-0.0760599977609659;0.0432395062463424
Saharo-Arabian;Annual Prec.;Heterogeneity within;0.269705149999602;0.343183312604817;0.416661475210031;0.0374888584720482
Atacama;Annual Prec.;Surrounding heterogeneity;0.427022421156259;0.487171534640663;0.547320648125066;0.0306883232063282
Australian;Annual Prec.;Surrounding heterogeneity;-0.126855411961081;-0.0357987242962217;0.0552579633686377;0.0464574937065609
Central Asian;Annual Prec.;Surrounding heterogeneity;-0.137866837508538;-0.0506941193085721;0.0364785988913937;0.0444758766326357
Gobi;Annual Prec.;Surrounding heterogeneity;-0.329625492105854;-0.241309876392263;-0.152994260678672;0.0450589876089751
Kalahari;Annual Prec.;Surrounding heterogeneity;0.204701229652593;0.283091246027801;0.36148126240301;0.0399949063138817
North American;Annual Prec.;Surrounding heterogeneity;-0.203282152143871;-0.126322540166093;-0.0493629281883157;0.0392651081519274
Persian;Annual Prec.;Surrounding heterogeneity;-0.226432839045051;-0.143753595322198;-0.061074351599345;0.0421832876137006
Saharo-Arabian;Annual Prec.;Surrounding heterogeneity;0.321976295098173;0.390622106976106;0.459267918854039;0.0350233734071085
Atacama;Annual Temp.;Average;0.0576180663177749;0.154052922342355;0.250487778366934;0.0492014571553978
Australian;Annual Temp.;Average;0.110996612669598;0.189436213996349;0.2678758153231;0.0400202047585464
Central Asian;Annual Temp.;Average;0.586173143035326;0.635318600045179;0.684464057055032;0.0250742127601291
Gobi;Annual Temp.;Average;0.581163118738313;0.634664977487163;0.688166836236012;0.0272968667085969
Kalahari;Annual Temp.;Average;0.0142550702839955;0.107903024371445;0.201550978458895;0.0477795684119641
North American;Annual Temp.;Average;0.448747557496081;0.515290485403721;0.581833413311362;0.0339504734222654
Persian;Annual Temp.;Average;0.107940923820844;0.194495271036513;0.281049618252181;0.0441603812324837
Saharo-Arabian;Annual Temp.;Average;-0.112997882398797;-0.0282743260692911;0.0564492302602149;0.043226304249748
Atacama;Annual Temp.;Heterogeneity within;0.0233216378638607;0.113306381949282;0.203291126034704;0.0459105837170519
Australian;Annual Temp.;Heterogeneity within;0.0931876494491572;0.177853445164212;0.262519240879267;0.0431968345484974
Central Asian;Annual Temp.;Heterogeneity within;-0.00433145600610182;0.0837367008289582;0.171804857664018;0.0449327330791122
Gobi;Annual Temp.;Heterogeneity within;-0.301111919600211;-0.208090369194884;-0.115068818789558;0.0474599746965953
Kalahari;Annual Temp.;Heterogeneity within;0.227009240783745;0.2966419591631;0.366274677542455;0.0355268971323239
North American;Annual Temp.;Heterogeneity within;-0.130849606908696;-0.0454329346132807;0.0399837376821346;0.0435799348445997
Persian;Annual Temp.;Heterogeneity within;-0.173000600223347;-0.0840477185580882;0.00490516310717061;0.0453841232986014
Saharo-Arabian;Annual Temp.;Heterogeneity within;0.0795163208279821;0.166040461221949;0.252564601615917;0.0441449695887589
Atacama;Annual Temp.;Surrounding heterogeneity;0.191105236057734;0.276763365854998;0.362421495652263;0.0437031274475841
Australian;Annual Temp.;Surrounding heterogeneity;0.177365690404273;0.25304662935129;0.328727568298308;0.0386127239525599
Central Asian;Annual Temp.;Surrounding heterogeneity;0.0370284746458145;0.13160442370275;0.226180372759685;0.0482530352331302
Gobi;Annual Temp.;Surrounding heterogeneity;-0.201469700532147;-0.10655763749503;-0.0116455744579133;0.0484245219577127
Kalahari;Annual Temp.;Surrounding heterogeneity;0.166921202487945;0.237933048522273;0.308944894556601;0.0362305336909835
